p5000_g+4.5_m0.0_t00_st_z+0.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00
  5000.      Teff [K].         Last iteration; yyyymmdd=20080519
  3.5440E+10 Flux [erg/cm2/s]
  3.1623E+04 Surface gravity [cm/s2]
  0.0        Microturbulence parameter [km/s]
  0.0        No mass for plane-parallel models
 +0.00 +0.00 Metallicity [Fe/H] and [alpha/Fe]
  1.0000E+00 1 cm radius for plane-parallel models
  1.1661E-22 Luminosity [Lsun] FOR A RADIUS OF 1 cm!
  1.50 8.00 0.076 0.00 are the convection parameters: alpha, nu, y and beta
  0.73826 0.24954 1.22E-02 are X, Y and Z, 12C/13C=89 (=solar)
Logarithmic chemical number abundances, H always 12.00
  12.00  10.93   1.05   1.38   2.70   8.39   7.78   8.66   4.56   7.84
   6.17   7.53   6.37   7.51   5.36   7.14   5.50   6.18   5.08   6.31
   3.17   4.90   4.00   5.64   5.39   7.45   4.92   6.23   4.21   4.60
   2.88   3.58   2.29   3.33   2.56   3.25   2.60   2.92   2.21   2.58
   1.42   1.92 -99.00   1.84   1.12   1.66   0.94   1.77   1.60   2.00
   1.00   2.19   1.51   2.24   1.07   2.17   1.13   1.70   0.58   1.45
 -99.00   1.00   0.52   1.11   0.28   1.14   0.51   0.93   0.00   1.08
   0.06   0.88  -0.17   1.11   0.23   1.25   1.38   1.64   1.01   1.13
   0.90   2.00   0.65 -99.00 -99.00 -99.00 -99.00 -99.00 -99.00   0.06
 -99.00  -0.52
  56 Number of depth points
Model structure
 k lgTauR  lgTau5    Depth     T        Pe          Pg         Prad       Pturb
 41 -0.00 -0.0712  0.000E+00  5434.9  1.4403E+01  1.5954E+05  2.1643E+00  0.0000E+00
 42  0.10  0.0198  1.197E+06  5617.9  1.9019E+01  1.7700E+05  2.4751E+00  0.0000E+00
 43  0.20  0.1117  2.363E+06  5823.7  2.6860E+01  1.9516E+05  2.8638E+00  0.0000E+00
 44  0.30  0.2047  3.446E+06  6053.4  4.1004E+01  2.1289E+05  3.3515E+00  0.0000E+00
 45  0.40  0.2989  4.400E+06  6317.5  6.8161E+01  2.2907E+05  3.9669E+00  0.0000E+00
 46  0.50  0.3942  5.202E+06  6618.4  1.2122E+02  2.4288E+05  4.7273E+00  0.0000E+00
 47  0.60  0.4901  5.870E+06  6902.4  2.0501E+02  2.5443E+05  5.5896E+00  0.0000E+00
 48  0.70  0.5859  6.449E+06  7153.0  3.1936E+02  2.6453E+05  6.4897E+00  0.0000E+00
 49  0.80  0.6815  6.978E+06  7374.4  4.6435E+02  2.7382E+05  7.3812E+00  0.0000E+00
 50  0.90  0.7768  7.482E+06  7571.8  6.3980E+02  2.8273E+05  8.2420E+00  0.0000E+00
 51  1.00  0.8717  7.978E+06  7751.4  8.4738E+02  2.9156E+05  9.0760E+00  0.0000E+00
 52  1.20  1.0611  9.013E+06  8068.3  1.3607E+03  3.0981E+05  1.0677E+01  0.0000E+00
 53  1.40  1.2500  1.012E+07  8360.6  2.0571E+03  3.2980E+05  1.2317E+01  0.0000E+00
 54  1.60  1.4388  1.132E+07  8639.0  2.9917E+03  3.5237E+05  1.4043E+01  0.0000E+00
 55  1.80  1.6278  1.266E+07  8909.8  4.2391E+03  3.7837E+05  1.5890E+01  0.0000E+00
 56  2.00  1.8175  1.416E+07  9177.6  5.9000E+03  4.0874E+05  1.7887E+01  0.0000E+00
